yusas,use
nwanglen,english
lihed,example
tasus,his
tasus,her
tasun,their
wonweh,our
nituk,your
nivwep,yours
womi,my
yopot,kinda
djoki,chinese
cispa,spanish
nduhi,hindi
larbi,arabic
aru,russian
hwerep,recycle
yipas,already
djosbon,week
rwodes,weak
fakwak,room
djompom,important
hakad,box
nadik,difficult
cyakot,as
tyedor,sunday
yilus,monday
rmataf,tuesday
samyeb,wednesday
cahweg,thursday
wubyec,friday
lyosa,saturday
hwereg,will
wafweb,outside
natol,take
sakor,colour
kampec,start
tipar,stop
kabrik,open
gwaseb,close
ncyorwek,hero
barok,bun
cyesad,shoe
fokot,hive
tyesyes,heaven
mapov,gate
fabrit,shine
tcagam,den
welres,around
ntcwesem,safe
dzosyeh,always
ralguy,any
djantreb,between
datrag,bring
mekah,each
bibrad,arm
gobad,enough
tcyefres,front
codeg,finger
djyadeg,toe
watok,ankle
wamuk,wrist
ambryeb,hungry
kasep,thirsty
tconsek,bug
tsonuk,never
djyembrok,shoulder
djirav,sentence
dzamih,self
djimed,metal
suplab,plastic
djyafap,family
dinev,enemy
djasyep,true
djyafad,false
tolib,hurt
kadim,fun
cyagram,funny
caton,silly
tcikstra,weird
kamyed,scary
canfag,angry
gafek,happy
catrid,sad
tcasyum,city
djyedim,building
piskric,screen
hamub,very
budek,yourewelcome
tasoy,it
tcanab,orange
dzamob,purple
dzomab,brown
hwegrid,gray
farog,pink
wepak,for
bunol,dont
gwasob,about
cahay,yeah
djareb,actually
tcimad,nice
kakrun,mean
yiser,meaning
gwampod,care
cinfod,information
cyakrem,believe
fapor,put
djamod,show
tsaskot,hide
camud,world
tsadin,guess
tswonkoh,wrong
leklat,type
nase,brain
djyansep,teach
mekul,nothing
molgoh,something
yolgyek,someone
tcyapad,wall
tyetet,ceiling
tcavob,become
cifok,shape
gwekam,expensive
pyebas,cheap
mermos,beautiful
tcofeb,ugly
djyetik,scissors
tsane,napkin
dakut,knife
twobat,tray
tsameq,menu
pimas,apple
beka,bagel
cyabak,banana
dofris,bean
nyokam,beef
pise,beer
myepar,bread
hwamaz,butter
dapak,cake
tcyatco,chocolate
lakep,cheese
ka,coffee
miduk,corn
tyerod,donut
rapah,hotdog
bilam,icecream
djahur,juice
fake,ketchup
yakom,lamb
djyenwek,nut
bi,pizza
djuhis,pork
mapal,potato
mirot,rice
djyasat,sauce
cyakad,shrimp
tasoh,soup
cyaspem,spice
puvic,wine
swayod,yogurt
famat,way
djudev,idea
gusto,story
gafwes,source
taspev,special
dyepun,dot
hatob,still
dzalik,literal
bifil,figurative
labak,garbage
bakis,bag
wartcif,file
mukaf,folder
cyekat,wire
yiwdyos,audio
cabiv,video
cimer,message
hwevol,return
tcakok,query
cubad,database
byevat,variable
tcakon,constant
lyekos,column
cifip,row
nyoboz,button
canseg,eleven
cadob,twelve
catret,thirteen
cakat,fourteen
cakip,fifteen
cadye,sixteen
cadye,seventeen
cadyet,eighteen
cadyen,nineteen
rcabed,twenty
diva,th
yigin,lead
swesep,follow
djuted,attention
lyeprab,practice
dzalap,praise
darap,pray
bado,worship
lyekod,connect
cyorem,repair
binfey,sick
satret,thirty
sakwat,forty
wusip,fifty
lyose,sixty
tci,seventy
batcet,eighty
djyonot,ninety
yined,january
ryefe,february
sama,march
sabri,april
wuma,may
lyohud,june
tcihuy,july
bagov,august
djyose,september
caktuk,october
cano,november
cadi,december
games,improve
mulah,goal
nakwak,which
meko,noone
ladot,was
swehar,though
rades,let
tcyemis,humble
wrobhim,arrogant
djomew,middle
gome,metre
dzateb,early
watah,late
tcored,repeat
daliq,list
caran,schedule
carip,up
cyaban,down
galtot,high
diban,low
yatcam,key
swoset,lock
humes,mix
tcupun,pure
yiduk,hard
rwablak,soft
tsama,material
paspor,fluffy
dunih,unicorn
mopaz,pattern
kovak,empty
ciskeg,gross
kohav,air
yelid,liquid
tciga,gas
gusot,solid
camat,morning
wumed,noon
cyatab,afternoon
watac,evening
bamed,midnight
yahit,shake
cyelih,line
tcakar,shirt
tikaf,tshirt
kupab,pants
masot,hat
cogwad,glove
djyatcak,jacket
hambug,hamburger
dzalek,letter
djikal,almost
cweskot,choose
yepap,page
cudab,data
cwaret,refresh
gagtwad,update
djyekot,check
djigti,activate
warem,royal
djiroy,robot
djankop,find
dyeleb,electricity
tcyelap,pencil
ywebol,pen
fehas,soap
citca,shampoo
matof,towel
rodep,melt
yisop,shadow
gwopad,country
yekon,coconut
lyodu,durian
tcyebe,eggplant
wugon,fig
puvan,grape
mihac,honeydew
tciki,kiwi
nili,lemon
ma,mango
yonec,nectarine
djinab,oranges
bona,pineapple
fufrat,raspberry
tsafres,strawberry
fatop,tomato
tcogliy,ugli
cyabav,vanilla
citab,watermelon
tobar,yam
cyakat,zucchini
tuser,aardvark
febal,baboon
byekah,chameleon
hades,dolphin
cyaleh,elephant
husol,fox
tcahi,giraffe
fakot,hummingbird
lyegwag,iguana
cwemag,jellyfish
daka,kangaroo
lodjhik,lobster
hamal,manatee
dunak,narwhal
djapuc,octopus
tcipi,penguin
ntcukob,quail
tukoh,rabbit
hastres,starfish
bater,termite
tubwig,vulture
hamov,walrus
sordig,xerus
mayat,yak
baseh,zebra
tsolid,smart
coreg,watch
pize,bottle
ywemec,month
fupab,pay
dzaden,breakfast
wulmwed,lunch
waser,dinner
libon,snack
